Date : 2024-11-18 18:08:13
Directory : c:\Users\45228\Desktop\share\ddos\code
Total : 172 files,  17482 codes, 1243 comments, 2430 blanks, all 21155 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev.h                 | C++            |         21 |          0 |          5 |         26 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_disk0.c           | C              |        100 |          0 |         14 |        114 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_null.c            | C              |         29 |          0 |          6 |         35 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdin.c           | C              |         92 |          0 |         13 |        105 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\devs\dev_stdout.c          | C              |         48 |          0 |          8 |         56 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.c                     | C              |        338 |          5 |         24 |        367 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\file.h                     | C              |         49 |          1 |          6 |         56 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.c                       | C              |         70 |          1 |          9 |         80 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\fs.h                       | C              |         34 |          0 |          9 |         43 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.c                    | C              |         39 |          0 |          5 |         44 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\iobuf.h                    | C++            |         16 |          0 |          3 |         19 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe.c                | C              |         52 |          1 |          8 |         61 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe.h                | C              |         35 |          0 |          9 |         44 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_inode.c          | C              |        179 |          0 |         12 |        191 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_root.c           | C              |        138 |          0 |          6 |        144 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_state.c          | C              |        123 |          0 |         15 |        138 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\pipe\pipe_state.h          | C++            |         29 |          0 |          4 |         33 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\buf_io.c               | C              |         79 |          0 |         11 |         90 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\sfs.c                  | C              |        140 |          4 |         18 |        162 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\sfs.h                  | C              |         65 |          0 |         15 |         80 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\sfs\sfs_inode.c            | C              |        708 |         17 |         50 |        775 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.c                   | C              |         47 |          0 |          5 |         52 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\swapfs.h                   | C++            |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.c                | C              |         71 |          0 |         15 |         86 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\inode.h                | C              |        127 |        122 |         26 |        275 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.c                  | C              |         75 |          0 |         10 |         85 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfs.h                  | C              |         67 |         83 |         17 |        167 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsdev.c               | C              |        223 |         19 |         18 |        260 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfsfile.c              | C              |        123 |          2 |          9 |        134 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfslookup.c            | C              |         68 |          9 |          3 |         80 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\fs\vfs\vfspath.c              | C              |        147 |          0 |         10 |        157 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.c              | C              |         98 |          2 |         11 |        111 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\console.h              | C++            |         10 |          0 |          1 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\kernelvec.S            | Assembler file |        107 |          0 |         11 |        118 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\main.c                 | C              |         73 |          9 |          7 |         89 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.c                 | C              |         26 |          7 |          7 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\plic.h                 | C++            |          9 |          0 |          1 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.c                 | C              |      1,021 |        156 |         91 |      1,268 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\proc.h                 | C              |        187 |          3 |         18 |        208 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\riscv.h                | C              |        200 |         48 |         57 |        305 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.c             | C              |         64 |          0 |          7 |         71 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\spinlock.h             | C++            |         26 |          2 |          2 |         30 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\swtch.S                | Assembler file |         54 |          0 |         12 |         66 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.c              | C              |        182 |          7 |         11 |        200 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\syscall.h              | C++            |         13 |          1 |          4 |         18 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\sysfile.c              | C              |        488 |         13 |         57 |        558 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trampoline.S           | Assembler file |        127 |          0 |         16 |        143 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.c                 | C              |        215 |         22 |         20 |        257 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\kernel\trap.h                 | C++            |         17 |          0 |          3 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\atomic.h                 | C              |         79 |          1 |         42 |        122 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.c                  | C              |         50 |          1 |          8 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\libs\stdio.h                  | C              |         11 |          0 |          1 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.c                 | C              |        226 |          1 |         29 |        256 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\buddyPmm.h                 | C++            |          8 |          0 |          3 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.c               | C              |         91 |          0 |         20 |        111 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\defaultPmm.h               | C++            |          8 |          0 |          3 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\memlayout.h                | C              |         29 |         35 |         13 |         77 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.c                      | C              |        664 |         12 |         78 |        754 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\pmm.h                      | C++            |        155 |          5 |         41 |        201 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.c                    | C              |         71 |          0 |          8 |         79 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\shmem.h                    | C++            |         30 |          0 |          9 |         39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.c                     | C              |        385 |          1 |         69 |        455 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\slab.h                     | C              |         12 |          0 |          4 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.c                     | C              |        894 |         20 |        185 |      1,099 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\swap.h                     | C++            |         27 |          7 |          5 |         39 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.c                      | C              |        606 |         10 |         57 |        673 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\mm\vmm.h                      | C++            |         74 |          7 |         19 |        100 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.c              | C              |        131 |          7 |         13 |        151 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched.h              | C              |         50 |          1 |          5 |         56 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.c          | C              |        150 |         17 |         13 |        180 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_CFS.h          | C              |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.c         | C              |         41 |          5 |          7 |         53 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_FCFS.h         | C++            |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.c           | C              |         91 |          3 |          8 |        102 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\schedule\sched_RR.h           | C++            |          7 |          0 |          1 |          8 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.c                   | C              |        106 |         17 |         13 |        136 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\event.h                   | C++            |         16 |          0 |          2 |         18 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.c                    | C              |        360 |          4 |         24 |        388 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\mbox.h                    | C              |         50 |          0 |          9 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.c                     | C              |        252 |          0 |         28 |        280 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\sem.h                     | C              |         43 |          0 |          6 |         49 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.c                  | C              |        111 |         12 |          7 |        130 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\signal.h                  | C++            |         35 |          1 |          6 |         42 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.c                     | C              |          5 |          0 |          2 |          7 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\syn.h                     | C++            |          6 |          0 |          3 |          9 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.c                    | C              |         92 |          1 |         15 |        108 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\syn\wait.h                    | C              |         32 |          0 |          6 |         38 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.c             | C              |         87 |          7 |          9 |        103 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\kerneltest.h             | C++            |          5 |          0 |          0 |          5 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.c                | C              |        159 |         10 |         17 |        186 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\uprintf.h                | C++            |         13 |          0 |          3 |         16 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.c                   | C              |          9 |          0 |          2 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\user.h                   | C              |         20 |          0 |          1 |         21 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.c               | C              |         26 |         47 |         15 |         88 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usertest.h               | C++            |          4 |          0 |          0 |          4 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\test\usys.py                  | Python         |         19 |          2 |          6 |         27 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\assert.h                 | C              |         16 |          0 |          4 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.c                 | C              |         81 |          1 |          8 |         90 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\bitmap.h                 | C              |         19 |          0 |          2 |         21 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\elf.h                    | C++            |         36 |          4 |          5 |         45 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.c                   | C              |          6 |          1 |          3 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\hash.h                   | C              |          5 |          0 |          1 |          6 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\list.h                   | C              |         67 |          0 |         19 |         86 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.c                  | C              |         50 |          3 |          6 |         59 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\panic.h                  | C++            |         10 |          0 |          3 |         13 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.c                 | C              |        183 |          3 |         16 |        202 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\printf.h                 | C++            |         15 |          0 |          5 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.c                   | C              |         18 |          6 |          7 |         31 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rand.h                   | C++            |          9 |          0 |          2 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.c                 | C              |        344 |          4 |         52 |        400 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\rbtree.h                 | C++            |         26 |          0 |          6 |         32 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\stdarg.h                 | C++            |          7 |          1 |          4 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.c                 | C              |        149 |          0 |         17 |        166 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\string.h                 | C              |         21 |          0 |          2 |         23 |
| c:\Users\45228\Desktop\share\ddos\code\kernel\util\types.h                  | C              |         47 |          0 |         17 |         64 |
| c:\Users\45228\Desktop\share\ddos\code\user\Makefile                        | Makefile       |          6 |          0 |          3 |          9 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\assert.h                   | C              |         16 |          0 |          4 |         20 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\atomic.h                   | C              |         79 |        114 |         25 |        218 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\clone.S                    | Assembler file |         30 |          0 |         10 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\dir.c                      | C              |         34 |          0 |          3 |         37 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\dir.h                      | C              |         13 |          0 |          2 |         15 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\file.h                     | C              |         23 |          0 |          3 |         26 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\initcode.S                 | Assembler file |          6 |          0 |          1 |          7 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\lock.h                     | C++            |         31 |          0 |          9 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\main.c                     | C              |         36 |          0 |          3 |         39 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.c                   | C              |        127 |          0 |         18 |        145 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\malloc.h                   | C++            |          8 |          0 |          3 |         11 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.c                    | C              |         55 |          0 |         13 |         68 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\panic.h                    | C++            |          9 |          0 |          3 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.c                   | C              |        177 |         10 |         19 |        206 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\printf.h                   | C++            |         15 |          0 |          2 |         17 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.c                     | C              |          7 |          5 |          5 |         17 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\rand.h                     | C++            |          7 |          0 |          3 |         10 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.c                    | C              |         98 |          0 |          9 |        107 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\spipe.h                    | C++            |         25 |          0 |          5 |         30 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\stdarg.h                   | C++            |          7 |          1 |          4 |         12 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.c                   | C              |        129 |          0 |         15 |        144 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\string.h                   | C              |         19 |          0 |          2 |         21 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.c                   | C              |         37 |          0 |          3 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\thread.h                   | C++            |         15 |          0 |          6 |         21 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\types.h                    | C              |         29 |          0 |         11 |         40 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.c                     | C              |        262 |          1 |         68 |        331 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\user.h                     | C              |         71 |          0 |          1 |         72 |
| c:\Users\45228\Desktop\share\ddos\code\user\libs\usys.py                    | Python         |         24 |          2 |          6 |         32 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.c                | C              |      2,016 |        143 |        194 |      2,353 |
| c:\Users\45228\Desktop\share\ddos\code\user\test\usertests.h                | C++            |          4 |          0 |          1 |          5 |
| Total                                                                       |                |     17,482 |      1,243 |      2,430 |     21,155 |
+-----------------------------------------------------------------------------+----------------+------------+------------+------------+------------+
